quantity,prefix,style and dimensions,outer cover,foam,underpanel,incontinence cover,colour,notes,descriptions,pn,part_of_sequence,date_as_string,rigidiser cover
1,1125,SS - 1212,1,0,0,0,000 Black,,"Spex Kidz Superhigh Contour Step cushion spare outer breathable cover, 12"" wide x 12"" deep",1125-1212-6SS,30.8,221115,0
1,1105,HC - 2119,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable Cushion Custom Size with contouring cell system for pelvis, hip and leg positioning 21"" wide x 19"" long",1105-2929-0HC,21.1,221116,0
1,1125,SC - 1215,1,0,0,0,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T = 1"". User's side=LHS","Spex Kidz Standard Contour cushion spare outer breathable cover, 12"" wide x 15"" deep",1125-12XX-6SC,27.2,221116,0
1,1105,SC - 1215,1,1,1,1,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T =1"" User's side=LHS","Spex Classic Kidz Standard-Contour adjustable cushion, 12"" wide x 15"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-12XX-0SC,27.1,221116,0
1,1103,SC - 1215,1,1,0,1,000 Black,,"Vigour Kidz Standard Contour cushion, 12"" wide x 15"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-12XX-0SC,26.1,221117,0
1,1123,SC - 1215,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 12"" wide x 15"" deep",1123-12XX-6SC,26.2,221117,0
1,1105,HC - 1820,1,1,1,1,090 Granite Grey,1111-0356-000: Insert waffle gel in ischial area (sizes from 16x20” – 20x20”). ,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC_090,43.2,221117,0
1,1123,SC - 1416,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1123-1416-6SC,5.1,221117,0
1,1105,HC - 1822,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 22"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1822-0HC,2.12,221117,0
1,1105,HC - 1920,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 19"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1920-0HC,40.2,221117,0
1,1123,SC - 1618,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1123-1618-6SC,5.3,221117,0
1,1105,HC - 1618,1,1,1,1,054 Leaf Green,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC_054,9.1,221118,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,24.1,221121,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,28.1,221121,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,28.9,221121,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,28.9,221121,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,31.2,221121,0
1,1103,SC - 1820,1,1,0,1,000 Black,,"Vigour Standard Contour cushion, 18"" wide x 20"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1820-0SC,2.27,221122,0
1,1105,SS - 1516,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 15"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1516-0SS,2.28,221122,0
1,1125,HC - 1618,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC,40.2,221122,0
1,1125,HC - 1620,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 20"" deep",1125-1620-6HC_022,4.22,221107,0
1,1125,SS - 1820,1,0,0,0,000 Black,,"Spex Superhigh Contour Step adjustable cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6SS,6.17,221115,0
1,1123,SC - 1414,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1123-1414-6SC,24.1,221116,0
1,1125,HC - 1620,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 20"" deep",1125-1620-6HC,42.3,221122,0
1,1105,SC - 1414,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 14"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1414-0SC,1.7,221116,0
1,1125,SC - 1414,1,0,0,0,000 Black,"1111-0315-000: Custom Pre-ischial Shelf. Custom pre-ischial shelf, Dimensions:Angle of shelf (option) = TBC, F = 15cm, E = 3cm","Spex Standard Contour cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6SC,30.2,221116,0
1,1105,HC - 1717,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 17"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1717-0HC,4.4,221107,0
1,1105,HC - 1717,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 17"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1717-0HC,4.5,221107,0
1,1105,HC - 1717,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 17"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1717-0HC,5.5,221108,0
1,1105,SC - 1820,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0SC,7.1,221115,0
1,1125,HC - 1718,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC_077,5.14,221102,0
1,1103,HC - 1718,1,1,0,1,000 Black,,"Vigour High Contour cushion, 17"" wide x 18"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1718-0HC,26.2,221103,0
1,1125,HC - 1718,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC,5.1,221104,0
1,1125,HC - 1718,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC,5.11,221104,0
1,1125,HC - 1718,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC,5.12,221104,0
1,1106,HC - 1718,1,1,0,1,054 Leaf Green,"1111-0391-000: ½” soft SunMate overlay, cushion top; 1111-0317-000: Cut-back cushion front edge, contracture. measurement U=[1]""","SPEX Flex cushion system, 17"" wide x 18"" deep, High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1718-0HC_054,21.1,221107,0
1,1126,HC - 1718,1,0,0,0,054 Leaf Green,"1111-0391-000: ½” soft SunMate overlay, cushion top; 1111-0317-000: Cut-back cushion front edge, contracture. measurement U=[1]""","SPEX Flex cushion outer cover, 17"" wide x 18"" deep, High Contour",1126-1718-6HC_054,21.2,221107,0
1,1105,HC - 1718,1,1,1,1,000 Black,"1111-0325-000: Abduction & adduction contouring, front half of cushion. ","Spex Classic High-Contour adjustable cushion, 17"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1718-0HC,10.1,221108,0
1,1125,HC - 1718,1,0,0,0,000 Black,"1111-0325-000: Abduction & adduction contouring, front half of cushion","Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC,10.2,221108,0
1,1145,HC - 1718,0,1,1,0,,,"spex cushion foam unit, 17"" wide x 18"" deep, high contour",1145-1718-3HC,1.11,221109,0
1,1125,HC - 1718,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 18"" deep",1125-1718-6HC,31.1,221109,0
1,1103,HC - 1718,1,1,0,1,000 Black,,"Vigour High Contour cushion, 17"" wide x 18"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1718-0HC,14.1,221118,0
1,1106,HC - 1718,1,1,0,1,000 Black,Jay-Label: Attach Jay Label,"SPEX Flex cushion system, 17"" wide x 18"" deep, High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1718-0HC,21.5,221118,0
1,1105,HC - 1719,1,1,1,1,000 Black,"Note: Spex Manufacturing Notes. 19 long with contouring cell system for pelvis, hip and leg positioning.; 1111-UPGR-001: Upgrade cushion ischial region to ROHO air-cells. (ROHO cells provided by customer). must be round shape style","Spex Classic High-Contour adjustable cushion, 17"" wide x 19"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-17XX-0HC,26.1,221107,0
1,1125,HC - 1719,1,0,0,0,000 Black,Note: Spex Manufacturing Notes. Note: allow for Roho insert; Note: Spex Manufacturing Notes. 19 long,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 19"" deep",1125-17XX-6HC,26.2,221107,0
1,1105,HC - 1719,1,1,1,1,000 Black,1111-0336-000: Std shaping/contouring in pommel area. ,"Spex Classic High-Contour adjustable cushion, 17"" wide x 19"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-17XX-0HC,23.1,221108,0
1,1125,HC - 1719,1,0,0,0,000 Black,1111-0336-000: Std shaping/contouring in pommel area,"Spex High Contour Cushion spare outer breathable cover, 17"" wide x 19"" deep",1125-17XX-6HC,23.2,221108,0
1,1145,HC - 1816,0,1,1,0,,,"spex cushion foam unit, 18"" wide x 16"" deep, high contour",1145-1816-3HC,1.22,221109,0
1,1125,HC - 1816,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 16"" deep",1125-1816-6HC,10.1,221122,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,29.1,221104,0
1,1106,HC - 1818,1,1,0,1,000 Black,,"SPEX Flex cushion system, 18"" wide x 18"" deep, High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1818-0HC,37.2,221104,0
1,1126,HC - 1818,1,0,0,0,000 Black,,"SPEX Flex cushion outer cover, 18"" wide x 18"" deep, High Contour",1126-1818-6HC,37.3,221104,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,4.24,221107,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,4.25,221107,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,4.26,221107,0
1,1125,HC - 1818,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC_077,4.27,221107,0
1,1125,HC - 1818,1,0,0,0,028 Calypso Pink,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC_028,9.7,221110,0
1,1125,SS - 1618,1,0,0,0,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T = 1"" User's side=LHS","Spex Superhigh Contour Step adjustable cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6SS,21.2,221115,0
1,1105,SC - 1820,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0SC,11.2,221115,0
1,1105,SS - 1412,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 14"" wide x [12]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-14XX-0SS,24.2,221115,0
1,1105,SS - 1618,1,1,1,1,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T =1"" User's side=LHS","Spex Classic Superhigh Contour Step adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0SS,21.1,221115,0
1,1105,SS - 1818,1,1,1,1,000 Black,1111-0356-000: Insert waffle gel in ischial area (sizes from 16x20” – 20x20”),"Spex Classic Superhigh Contour Step adjustable cushion, 18"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1818-0SS,23.2,221115,0
1,1125,HC - 1517,1,0,0,0,000 Black,Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 15"" wide x [17]"" deep",1125-15XX-6HC,15.2,221115,0
1,1105,SS - 2220,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 22"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2220-0SS,10.1,221115,0
1,1106,SC - 1620,1,1,0,1,000 Black,,"SPEX Flex cushion system, 16"" wide x 20"" deep, Standard Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1620-0SC,2.14,221117,0
1,1105,HC - 2020,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0HC,2.13,221117,0
1,1125,HC - 1818,1,0,0,0,060 Ocean Blue,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC_060,3.14,221121,0
1,1125,HC - 1818,1,0,0,0,060 Ocean Blue,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC_060,3.15,221121,0
1,1105,HC - 2018,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 20"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2018-0HC,2.29,221122,0
1,1105,HC - 1820,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC,5.1,221104,0
1,1105,HC - 1820,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC,5.2,221104,0
1,1125,HC - 1820,1,0,0,0,060 Ocean Blue,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6HC_060,27.1,221107,0
1,1125,HC - 1820,1,0,0,0,028 Calypso Pink,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6HC_028,5.1,221109,0
1,1105,HC - 1820,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC,2.9,221110,0
1,1125,SC - 1616,1,0,0,0,000 Black,,"Spex Standard Contour Standard Contour cushion spare outer breathable cover, 16"" wide x 16"" deep",1125-1616-6SC,6.1,221114,0
1,1125,SC - 1616,1,0,0,0,000 Black,,"Spex Standard Contour Standard Contour cushion spare outer breathable cover, 16"" wide x 16"" deep",1125-1616-6SC,6.2,221114,0
1,1125,HC - 1818,1,0,0,0,000 Black,Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,14.2,221115,0
1,1126,HC - 1620,1,0,0,0,000 Black,"Note: Spex Manufacturing Notes. Note: This cover is for a cushion made in 2019, serial number 687103 belong to the sales order s243839","SPEX Flex cushion outer cover, 16"" wide x 20"" deep, High Contour",1126-1620-6HC,31.1,221115,0
1,1125,HC - 1418,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 18"" deep",1125-1418-6HC_022,6.1,221115,0
1,1125,HC - 1418,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 18"" deep",1125-1418-6HC_022,6.2,221115,0
1,1125,HC - 1616,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 16"" deep",1125-1616-6HC_022,6.3,221115,0
1,1105,SC - 1312,1,1,1,1,000 Black,,"Spex Classic Kidz Standard-Contour adjustable cushion, 13"" wide x 12"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1312-0SC,18.1,221117,0
1,1105,SC - 1313,1,1,1,1,090 Granite Grey,,"Spex Classic Kidz Standard-Contour adjustable cushion, 13"" wide x 13"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-13XX-0SC_090,22.2,221117,0
1,1105,SC - 1416,1,1,1,1,022 Chilli Red,,"Spex Classic Standard-Contour adjustable cushion, 14"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1416-0SC_022,39.2,221117,0
1,1105,SC - 1616,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 16"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1616-0SC,2.1,221117,0
1,1105,SS - 1416,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 14"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1416-0SS,6.1,221122,0
1,1125,HC - 1618,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC,5.12,221117,0
1,1125,HC - 1918,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 19"" wide x 18"" deep",1125-1918-6HC_077,5.16,221108,0
1,1145,HC - 1918,0,1,1,0,,,"spex cushion foam unit, 19"" wide x 18"" deep, high contour",1145-1918-3HC,1.25,221109,0
1,1145,HC - 1918,0,1,1,0,,,"spex cushion foam unit, 19"" wide x 18"" deep, high contour",1145-1918-3HC,1.26,221109,0
1,1145,HC - 1918,0,1,1,0,,,"spex cushion foam unit, 19"" wide x 18"" deep, high contour",1145-1918-3HC,1.27,221109,0
1,1145,HC - 1918,0,1,1,0,,,"spex cushion foam unit, 19"" wide x 18"" deep, high contour",1145-1918-3HC,1.28,221109,0
1,1105,HC - 1918,1,1,1,1,054 Leaf Green,1111-0392-000: ½” Gel-foam overlay top of cushion,"Spex Classic High-Contour adjustable cushion, 19"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1918-0HC_054,36.1,221109,0
1,1145,HC - 1918,0,1,1,0,,,"spex cushion foam unit, 19"" wide x 18"" deep, high contour",1145-1918-3HC,5.1,221110,0
1,1125,HC - 1918,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 19"" wide x 18"" deep",1125-1918-6HC,9.1,221110,0
1,1123,HC - 1919,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 19"" wide x 19"" deep",1123-19XX-6HC,13.1,221122,0
1,1125,SC - 1616,1,0,0,0,000 Black,,"Spex Standard Contour Standard Contour cushion spare outer breathable cover, 16"" wide x 16"" deep",1125-1616-6SC,6.3,221114,0
1,1123,SC - 1618,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1123-1618-6SC,11.1,221114,0
1,1105,SC - 1616,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 16"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1616-0SC,2.2,221117,0
1,1105,HC - 1920,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 19"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1920-0HC,21.15,221118,0
1,1105,HC - 1920,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 19"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1920-0HC,21.16,221118,0
1,1125,HC - 1920,1,0,0,0,000 Black,Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 19"" wide x 20"" deep",1125-1920-6HC,27.1,221118,0
1,1105,HC - 1920,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 19"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1920-0HC,27.2,221118,0
1,1105,HC - 2017,1,1,1,1,044 Bumblebee Yellow,,"Spex Classic High-Contour adjustable cushion, 20"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-20XX-0HC_044,35.1,221109,0
1,1125,HC - 2017,1,0,0,0,044 Bumblebee Yellow,,"Spex High Contour Cushion spare outer breathable cover, 20"" wide x 17"" deep",1125-20XX-6HC_044,35.2,221109,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,8.2,221122,0
1,1105,HC - 1417,1,1,1,1,054 Leaf Green,,"Spex Classic High-Contour adjustable cushion, 14"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-14XX-0HC_054,12.1,221122,0
1,1125,HC - 2018,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 20"" wide x 18"" deep",1125-2018-6HC,18.2,221122,0
1,1125,HC - 2020,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6HC,9.1,221104,0
1,1125,HC - 2020,1,0,0,0,077 Royal Purple,"Jay-Label: Attach Jay Label; 1111-0391-000: ½” soft SunMate overlay, cushion top; 1111-0491-077: Change cushion outer cover border fabric to Royal Purple","Spex High Contour Cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6HC_077,40.1,221108,0
1,1105,HC - 2020,1,1,1,1,077 Royal Purple,"1111-0491-077: Change cushion outer cover border fabric to Royal Purple; Jay-Label: Attach Jay Label. 1111-0391-000: ½” soft SunMate overlay, cushion top","Spex Classic High-Contour adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0HC_077,40.2,221108,0
1,1105,HC - 2020,1,1,1,1,022 Chilli Red,,"Spex Classic High-Contour adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0HC_022,28.1,221109,0
1,1125,HC - 2020,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6HC_022,28.2,221109,0
1,1125,HC - 2020,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6HC,20.3,221110,0
1,1125,SC - 1618,1,0,0,0,000 Black,"Note: Spex Manufacturing Notes. Note: allow for 1/2"" sunmate overlay on top of cushion","Spex Standard Contour cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6SC,18.2,221114,0
1,1105,HC - 1920,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 19"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1920-0HC,19.1,221114,0
1,1103,SC - 1818,1,1,0,1,000 Black,,"Vigour Standard Contour cushion, 18"" wide x 18"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1818-0SC,8.1,221114,0
1,1125,HC - 1618,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC_022,6.4,221115,0
1,1125,SC - 1312,1,0,0,0,000 Black,,"Spex Kidz Standard Contour cushion spare outer breathable cover, 13"" wide x 12"" deep",1125-1312-6SC,18.2,221117,0
1,1105,HC - 2020,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0HC,26.2,221118,0
1,1105,HC - 2021,1,1,1,1,000 Black,"1111-0391-000: ½” soft SunMate overlay, cushion top","Spex Classic High-Contour adjustable cushion, 20"" wide x 21"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-20XX-0HC,31.3,221110,0
1,1125,HC - 2021,1,0,0,0,000 Black,"1111-0391-000: ½” soft SunMate overlay, cushion top","Spex High Contour Cushion spare outer breathable cover, 20"" wide x 21"" deep",1125-20XX-6HC,31.4,221110,0
1,1125,SC - 2020,1,0,0,0,000 Black,,"Spex Standard Contour cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6SC,6.6,221114,0
1,1125,SC - 2020,1,0,0,0,000 Black,,"Spex Standard Contour cushion spare outer breathable cover, 20"" wide x 20"" deep",1125-2020-6SC,6.7,221114,0
1,1105,SC - 1414,1,1,1,1,000 Black,"1111-0315-000: Custom Pre-ischial Shelf. Custom pre-ischial shelf, Dimensions: F = 15cm, E = 3cm","Spex Classic Standard-Contour adjustable cushion, 14"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1414-0SC,30.1,221116,0
1,1125,SC - 1415,1,0,0,0,000 Black,,"Spex Standard Contour cushion spare outer breathable cover, 14"" wide x 15"" deep",1125-14XX-6SC,19.2,221116,0
1,1105,HC - 2218,1,1,1,1,000 Black,,"Spex XLella Bariatric High-Contour adjustable cushion, 22"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2218-0HC,18.1,221108,0
1,1105,HC - 2220,1,1,1,1,000 Black,,"Spex XLella Bariatric High-Contour adjustable cushion, 22"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2220-0HC,41.2,221108,0
1,1105,SC - 1010,1,1,1,1,000 Black,,"Spex Classic Kidz Standard-Contour adjustable cushion, 10"" wide x 10"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1010-0SC,4.2,221110,0
1,1125,SC - 1416,1,0,0,0,000 Black,,"Spex Standard Contour cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6SC,9.1,221116,0
1,1105,SC - 2220,1,1,1,1,000 Black,,"Spex XLella Bariatric Standard-Contour adjustable cushion, 22"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2220-0SC,14.1,221122,0
1,1103,SC - 1210,1,1,0,1,060 Ocean Blue,,"Vigour Kidz Standard Contour cushion, 12"" wide x 10"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1210-0SC_060,13.1,221109,0
1,1123,SC - 1210,1,0,0,0,060 Ocean Blue,,"Vigour Kidz Standard Contour Cushion spare outer breathable cover, 12"" wide x 10""'",1123-1210-6SC_060,13.2,221109,0
1,1125,SC - 1212,1,0,0,0,022 Chilli Red,,"Spex Kidz Standard Contour cushion spare outer breathable cover, 12"" wide x 12"" deep",1125-1212-6SC_022,5.6,221104,0
1,1125,SC - 1212,1,0,0,0,060 Ocean Blue,,"Spex Kidz Standard Contour cushion spare outer breathable cover, 12"" wide x 12"" deep",1125-1212-6SC_060,5.7,221104,0
